,CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,PM2.5T,lat,lon
0,1,SF,23522,BA,"1650 65TH STREET, LLC",1650 65TH STREET,EMERYVILLE,94608,1542,ALA,BAY AREA AQMD,,,1.6889e-05,1.6442999999999998e-05,5.1e-05,0.00023458900000000003,1.0900000000000001e-07,2.3344000000000002e-05,1.7212e-05,1.1536e-05,37.84633,-122.2962
1,1,SF,15509,BA,2929 SEVENTH STREET LLC,2929 7TH STREET,BERKELEY,94710,4931,ALA,BAY AREA AQMD,,,0.001076764,0.001045987,0.00889089,0.007223467,7.504e-06,0.000436995,0.000419516,0.000409465,37.85207,-122.29048
2,1,SF,20817,BA,"34175 ARDENWOOD VENTURE, LLC",34175 ARDENWOOD BLVD,FREMONT,94555,3721,ALA,BAY AREA AQMD,,,0.00060494,0.000582638,0.000832339,0.00633024,5.4379999999999994e-06,0.00018292,0.00017560400000000002,0.00017139599999999998,37.55754,-122.0641
3,1,SF,22656,BA,365 DATA CENTERS,1400 65TH STREET,EMERYVILLE,94608,4931,ALA,BAY AREA AQMD,,,0.0011822010000000001,0.0011509789999999999,0.0035699990000000003,0.01642124,7.612e-06,0.001222426,0.001173528,0.001145413,37.8467897372177,-122.291652359445
4,1,SF,6165,BA,4TH ST WOODWORKING CO,1266 45TH STREET,EMERYVILLE,94608,2431,ALA,BAY AREA AQMD,,,0.244743023,0.24239925980779997,,,,0.01607143,0.01125,0.0067499990000000005,37.83328,-122.28596
5,1,SF,16271,BA,808 RENEWABLE ENERGY,1515 CLAY STREET,OAKLAND,94612,4911,ALA,BAY AREA AQMD,,,1.5890663999999999,0.36383340000000003,0.30286675,0.18218142,0.001117554,0.03838364,0.03815334,0.03807657,37.80612,-122.27324
6,1,SF,20228,BA,"A 100 US, LLC",26464 CORPORATE AVE,HAYWARD,94545,7374,ALA,BAY AREA AQMD,,,0.11737395,0.10913526300000001,0.3327935,3.42198764,0.003801464,0.046990135,0.045110524000000006,0.044029751,37.62728,-122.11084
7,1,SF,62,BA,A B & I FOUNDRY,7825 SAN LEANDRO ST,OAKLAND,94621,3321,ALA,BAY AREA AQMD,,,29.958015542,28.770849234099998,112.46671165,40.8772018,55.740645001000004,22.646898311999998,14.352079335,10.749534423,37.75002,-122.19409
8,1,SF,20485,BA,AAAA GENERATOR SERVICES,2675 STEVENSON BLVD,FREMONT,94538,8999,ALA,BAY AREA AQMD,,,4.0519e-05,3.5166e-05,0.000291625,0.0006692339999999999,1.305e-06,3.7728e-05,3.6219e-05,3.5351e-05,37.55033,-121.97287
9,1,SF,22484,BA,AB SUPPLY,"45383 INDUSTRIAL PLACE, NO 16",FREMONT,94538,2434,ALA,BAY AREA AQMD,,,0.084904251,0.058802055058000006,,,,,,,37.4958,-121.95115
10,1,SF,20163,BA,ABAXIS INC,30411 WHIPPLE ROAD,UNION CITY,94587,3842,ALA,BAY AREA AQMD,,,0.000323913,0.00027931,0.0028790490000000003,0.005487921,1.0875e-05,0.000285927,0.00027449,0.000267913,37.6008449436828,-122.08690463908
11,1,SF,19013,BA,"ABAXIS, INC",3240 WHIPPLE ROAD,UNION CITY,94587,3842,ALA,BAY AREA AQMD,,,0.000999097,0.0009366530000000001,0.005298992,0.018313247,1.5225e-05,0.0005167230000000001,0.000496055,0.00048417,37.6055750387833,-122.081065023914
12,1,SF,2402,BA,AC TRANSIT,1177 47TH STREET,EMERYVILLE,94608,4173,ALA,BAY AREA AQMD,,,0.152656013,0.06350452599999999,0.01233294,0.057280939,2.7416e-05,0.000837422,0.000803925,0.000784665,37.83527,-122.28229
13,1,SF,3429,BA,AC TRANSIT,45TH STREET,EMERYVILLE,94608,3599,ALA,BAY AREA AQMD,,,0.0024,0.0024,,,,,,,37.83446,-122.27297
14,1,SF,3999,BA,AC TRANSIT,1758 SABRE STREET,HAYWARD,94545,4173,ALA,BAY AREA AQMD,,,0.002465733,0.002400613,0.0074459980000000005,0.03425002,1.5877e-05,0.000489137,0.00046957199999999997,0.000458321,37.65566,-122.12858
15,1,SF,2899,BA,AC TRANSIT DISTRICT,1100 SEMINARY AVE,OAKLAND,94621,4111,ALA,BAY AREA AQMD,,,0.028904292,0.028891627000000003,0.0014479920000000002,0.0066604559999999995,3.088e-06,0.00010655,9.931600000000001e-05,9.3928e-05,37.7618925946113,-122.204043737202
16,1,SF,2258,BA,AC TRANSIT DISTRICT - CENTRAL MAINTENANCE BUILDING,10626 INTERNATIONAL BLVD,OAKLAND,94603,4111,ALA,BAY AREA AQMD,,,0.8470605529999999,0.83112536,0.145225838,0.85251941,0.004764469,0.31118666,0.206262351,0.160803591,37.73916,-122.16425
17,1,SF,14532,BA,AC TRANSIT GENERAL OFFICE,1600 FRANKLIN STREET,OAKLAND,94612,9621,ALA,BAY AREA AQMD,,,0.013213796000000002,0.012864815,0.039902898,0.18354491,8.508700000000001e-05,0.013663401,0.013116865,0.012802606999999999,37.80528,-122.26852
18,1,SF,5096,BA,ACCURATE MOULDING & MILLWORK,38505 CHERRY STREET,NEWARK,94560,2341,ALA,BAY AREA AQMD,,,,,,,,0.3428573,0.24000010000000002,0.1440001,37.52142,-122.0175
19,1,SF,7566,BA,ACE CABINET SHOP,2160 PRUNE AVENUE,FREMONT,94539,2434,ALA,BAY AREA AQMD,,,,,,,,0.17232139999999999,0.120625,0.07237499,37.50629,-121.93624
20,1,SF,23085,BA,ACORN RESTORATION,2914 POPLAR STREET,OAKLAND,94608,7641,ALA,BAY AREA AQMD,,,0.26232031,0.26232031,,,,,,,37.82183,-122.28477
21,1,SF,1859,BA,ACUITY BRANDS LIGHTING,2246 5TH STREET,BERKELEY,94710,3646,ALA,BAY AREA AQMD,,,0.07966884,0.04033084,0.01239219,0.09799143,1.6376e-05,0.00028819,0.00028819,0.00028819,37.8641848002213,-122.2977341832
22,1,SF,14655,BA,"ADAMS PRECISION SCREEN PRINTING, INC",704 WHITNEY STREET,SAN LEANDRO,94577,2541,ALA,BAY AREA AQMD,,,0.17450816,0.17450815,,,,,,,37.72251,-122.18803
23,1,SF,10810,BA,ADVANCED ANODIZE INC,38200 CEDAR BLVD,NEWARK,94560,3471,ALA,BAY AREA AQMD,,,0.01978645,0.0,,,,,,,37.53457,-122.01279
24,1,SF,12112,BA,"ADVANCED FABRICATION TECHNOLOGY, LLC",31154 SAN BENITO ST,HAYWARD,94544,3499,ALA,BAY AREA AQMD,,,0.006664436,0.006664439,,,,,,,37.60932,-122.05034
25,1,SF,14349,BA,"AEG MANAGEMENT OAKLAND, LLC",7000 COLLISEUM WAY,OAKLAND,94621,9532,ALA,BAY AREA AQMD,,,0.001635832,0.00159212,0.006165802,0.021041216,1.0657e-05,0.0015444470000000002,0.001482668,0.001447146,37.75182,-122.198356
26,1,SF,20686,BA,AEI CONSULTANTS,10700 MACARTHUR BLVD,OAKLAND,94605,1799,ALA,BAY AREA AQMD,,,0.0025216229999999997,0.00168337,,,,,,,37.74297,-122.15025
27,1,SF,22278,BA,"AG - STRADA OCC HOLDINGS, LP",1300 CLAY STREET,OAKLAND,94612,6531,ALA,BAY AREA AQMD,,,0.00508454,0.004965004,0.013668000000000001,0.0628699,2.9145e-05,0.0008978689999999999,0.000861953,0.0008413030000000001,37.80473,-122.27357
28,1,SF,22390,BA,"AG-CCRP PUBLIC MARKET, LP",6001 SHELLMOUND STREET,EMERYVILLE,94608,6531,ALA,BAY AREA AQMD,,,0.006718716,0.0062369999999999995,0.02646863,0.06353641,0.00011745,0.003372237,0.0032373470000000002,0.003159786,37.8419823751703,-122.293157383913
29,1,SF,20251,BA,AGRIBAG,3925 ALAMEDA AVENUE,OAKLAND,94601,3151,ALA,BAY AREA AQMD,,,0.719524686,0.719524686,,,,,,,37.76744,-122.22334
30,1,SF,17824,BA,"AGRICULTURAL BAG MFG, INC",960 98TH AVENUE,OAKLAND,94603,2673,ALA,BAY AREA AQMD,,,0.543024506,0.539895709,0.05763667,0.23092710000000002,0.000935768,0.0049402859999999995,0.0049402859999999995,0.0049402859999999995,37.73997,-122.17788
31,1,SF,1855,BA,AGRICULTURAL RESEARCH SERVICE,800 BUCHANAN STREET,BERKELEY,94710,9641,ALA,BAY AREA AQMD,,,0.09763164099999999,0.075341202,0.44167338899999997,0.510153937,0.0066581669999999996,0.036430897000000004,0.036365764,0.036328312,37.8873551936375,-122.3050952043
32,1,SF,22685,BA,AGRO MERCHANTS OAKLAND LLC,860 81ST STREET,OAKLAND,94621,4213,ALA,BAY AREA AQMD,,,0.000224456,0.000188328,0.001150891,0.003637763,8.809e-06,0.000153951,0.00014779299999999999,0.00014425200000000001,37.75079,-122.18814
33,1,SF,13753,BA,AIMTA,43194 CHRISTY STREET,FREMONT,94538,3671,ALA,BAY AREA AQMD,,,0.03939301,0.03939301,,,,,,,37.50675,-121.97256
34,1,SF,19650,BA,"AIR LIQUIDE AMERICA SPECIALTY GASES, LLC",700 DECOTO ROAD,UNION CITY,94587,2813,ALA,BAY AREA AQMD,,,0.318315009,0.318308541,0.0007394999999999999,0.0034015440000000003,1.5769999999999999e-06,4.8579e-05,4.6636000000000005e-05,4.5518e-05,37.5967,-122.01717
35,1,SF,1672,BA,AIR LIQUIDE ELECTRONICS US,5121 BRANDIN COURT,FREMONT,94538,2813,ALA,BAY AREA AQMD,,,0.02427084,0.0167949244732,0.002342475,0.01852317,3.096e-06,5.4476000000000005e-05,5.4476000000000005e-05,5.4476000000000005e-05,37.50314,-121.9661
36,1,SF,18255,BA,AIR LIQUIDE INC,46405 LANDING PKWY,FREMONT,94538,2813,ALA,BAY AREA AQMD,,,0.13091031,0.13091031,,,,,,,37.4864653876807,-121.941122154049
37,1,SF,8051,BA,"AIRWELD, INC",8300 EARHART ROAD,OAKLAND,94621,4581,ALA,BAY AREA AQMD,,,0.02972963,0.02972964,,,,,,,37.7323387313727,-122.213299186767
38,1,SF,16663,BA,"AJINOMOTO WINDSOR, INC",2188 ALPINE WAY,HAYWARD,94545,2099,ALA,BAY AREA AQMD,,,0.44211172,0.42901438,0.24126660000000003,0.9666587999999999,0.003917118,3.3549660000000006,2.3546801,1.42108,37.64765,-122.12617
39,1,SF,15708,BA,AL'S CUSTOM FINISHING INC,"37537 SYCAMORE ST, STE B",NEWARK,94560,2434,ALA,BAY AREA AQMD,,,2.0144403000000004,2.0144403000000004,,,,,,,37.52652491909,-122.031649919257
40,1,SF,15971,BA,ALAMEDA COMMUNITY DEVELOPMENT AGENCY,3275 GREENVILLE ROAD,LIVERMORE,94550,9532,ALA,BAY AREA AQMD,,,4.2884e-05,3.3963e-05,0.00023774099999999997,0.002854683,2.175e-06,4.633e-05,4.4477e-05,4.3411e-05,37.6760177748038,-121.696786470144
