State or Territory,Number with Current Asthma,Percent with Current Asthma,,,,
Alabama,"370,128",9.9,,,,
Alaska,"50,792",9.2,,,,
Arizona,"479,791",9.3,,,,
Arkansas,"226,691",10.1,,,,
California,"2,290,491",7.7,,,,
Colorado,"375,709",9.0,,,,
Connecticut,"294,997",10.5,,,,
Delaware,"67,950",9.2,,,,
District of Columbia,"57,793",10.6,,,,
Florida,"1,197,036",7.4,,,,
Georgia,"708,933",9.2,,,,
Hawaii,"111,142",10.0,,,,
Idaho,"110,735",9.1,,,,
Illinois,"828,784",8.4,,,,
Indiana,"512,557",10.2,,,,
Iowa,"181,072",7.6,,,,
Kansas,"188,514",8.7,,,,
Kentucky,"403,499",11.9,,,,
Louisiana,"288,759",8.2,,,,
Maine,"120,034",11.2,,,,
Maryland,"408,914",8.8,,,,
Massachusetts,"547,096",10.2,,,,
Michigan,"781,517",10.2,,,,
Minnesota,"310,116",7.4,,,,
Mississippi,"175,845",7.8,,,,
Missouri,"448,562",9.6,,,,
Montana,"71,210",8.9,,,,
Nebraska,"101,854",7.2,,,,
Nevada,"179,450",8.1,,,,
New Hampshire,"107,224",10.1,,,,
New Jersey,"501,572",7.2,,,,
New Mexico,"155,818",9.9,,,,
New York,"1,532,508",9.9,,,,
North Carolina,"633,683",8.2,,,,
North Dakota,"52,567",9.0,,,,
Ohio,"896,185",10.0,,,,
Oklahoma,"279,781",9.5,,,,
Oregon,"351,437",11.2,,,,
Pennsylvania,"1,020,306",10.2,,,,
Rhode Island,"91,992",11.0,,,,
South Carolina,"309,943",8.2,,,,
South Dakota,"54,406",8.4,,,,
Tennessee,"455,946",9.0,,,,
Texas,"1,528,177",7.6,,,,
Utah,"187,377",9.0,,,,
Vermont,"55,265",11.0,,,,
Virginia,"513,676",7.9,,,,
Washington,"516,400",9.4,,,,
West Virginia,"158,528",10.8,,,,
Wisconsin,"426,296",9.5,,,,
Wyoming,"35,482",8.0,,,,
Guam,"6,921",6.5,,,,
Puerto Rico,"285,801",10.2,,,,
