StateAbbr,PlaceName,Population2010,CASTHMA_CrudePrev,CASTHMA_AdjPrev
CA,Folsom,72203,8.6,8.5
FL,Largo,77648,7.9,8.1
CA,Berkeley,112580,8.8,8.7
CA,Napa,76915,8.9,8.9
FL,Sunrise,84439,8,8
FL,Pembroke Pines,154750,7.1,7.1
NJ,Trenton,84913,10.8,10.7
CO,Pueblo,106595,9.7,9.7
WI,Racine,78860,10.1,10.1
WA,Auburn,70180,10.1,10
TX,Austin,790390,8.3,8.2
IL,Waukegan,89078,10,10
MN,Brooklyn Park,75781,8.3,8.2
WA,Renton,90927,9.1,9.1
OK,Oklahoma City,579999,10.2,10.1
GA,Augusta,195844,10.2,10.1
MA,Springfield,153060,12.7,12.6
CA,Bakersfield,347483,9.5,9.4
LA,Lake Charles,71993,9.7,9.7
IL,Schaumburg,74227,8.2,8.2
TN,Clarksville,132929,10.5,10.3
FL,Miami,399457,7.4,7.4
WI,Green Bay,104057,9.5,9.5
SD,Sioux Falls,153888,7.9,7.9
CO,Greeley,92889,9.3,9.2
CA,Visalia,124442,9.2,9.2
TX,Arlington,365438,9.4,9.3
IA,Davenport,99685,8.6,8.5
TX,Round Rock,99887,8.5,8.4
CA,Sunnyvale,140081,7,7
CA,Upland,73732,9,9
NY,Syracuse,145170,12.8,12.7
FL,Tampa,335709,8.4,8.3
CA,San Mateo,97207,7.9,8
TX,Lewisville,95290,8.5,8.5
FL,Pompano Beach,99845,8.3,8.4
NM,Santa Fe,67947,9.3,9.3
CA,San Ramon,72148,7.2,7.2
CA,Stockton,291707,9.5,9.4
MI,Livonia,96942,9.7,9.8
CA,San Diego,1307402,8,8
NV,Las Vegas,583756,8.7,8.7
IN,Carmel,79191,8.7,8.7
NC,Greensboro,269666,9.1,9
FL,Miramar,122041,7.8,7.6
OR,Eugene,156185,10.3,10.2
OR,Hillsboro,91611,9.7,9.7
CA,Modesto,201165,9.5,9.4
CA,Concord,122067,8.6,8.6
AZ,Tucson,520116,10.8,10.8
CA,Norwalk,105549,7.9,7.9
MI,Kalamazoo,74262,11.9,11.8
IL,Rockford,152871,10.4,10.5
SC,Rock Hill,66154,9.9,9.7
IA,Sioux City,82684,8.7,8.6
IL,Champaign,81055,9.6,9.2
AZ,Gilbert,208453,9.3,9.1
KS,Wichita,382368,9.7,9.6
CA,Chino Hills,74799,7.8,7.6
CA,Moreno Valley,193365,9.3,9.1
CA,San Marcos,83781,8.4,8.3
TX,Garland,226876,9.1,9
FL,Hialeah,224669,7,7
TX,Baytown,71802,9,9
MO,Independence,116830,10.2,10.2
AL,Montgomery,205764,10.4,10.3
WA,Kennewick,73917,10.6,10.6
CA,Thousand Oaks,126683,8.1,8.1
AZ,Chandler,236123,9.4,9.3
CO,Centennial,100377,8,7.9
FL,Davie,91992,7.3,7.2
WA,Seattle,608660,8.9,8.9
MN,Plymouth,70576,7.4,7.3
NM,Rio Rancho,87521,9.7,9.7
PA,Reading,88082,11.7,11.7
AZ,Mesa,439041,10.1,10.1
FL,Deltona,85182,8.3,8.3
OR,Portland,583776,9.5,9.5
IL,Springfield,116250,9.9,10
KY,Louisville,597337,12.3,12.3
AR,Little Rock,193524,9.3,9.3
IN,South Bend,101168,11.5,11.5
ME,Portland,66194,11.4,11.4
CT,Hartford,124775,12.5,12.3
NC,Charlotte,731424,8.6,8.5
DE,Wilmington,70851,10.7,10.7
FL,Plantation,84955,7.4,7.4
CA,Redding,89861,9.6,9.6
TX,Abilene,117063,9.3,9.2
MI,Flint,102434,13.7,13.5
AZ,Avondale,76238,10,9.9
CA,Hayward,144186,8.8,8.8
TX,Fort Worth,741206,9.6,9.5
CA,Glendale,191719,8.4,8.4
NC,Asheville,83393,8.3,8.3
UT,Layton,67311,8.7,8.6
TX,Pearland,91252,8,7.9
PA,Erie,101786,11.2,11.2
IL,Joliet,147433,9.7,9.7
CA,Tracy,82922,8.8,8.7
GA,Johns Creek,76728,7,6.8
NC,Jacksonville,70145,8,8.4
IA,Des Moines,203433,8.6,8.6
MI,Southfield,71739,11.3,11.4
PA,Allentown,118032,10.7,10.7
NY,Mount Vernon,67292,12.4,12.4
FL,Lakeland,97422,8.6,8.7
CA,Elk Grove,153015,9,8.9
AZ,Peoria,154065,9.7,9.7
VA,Roanoke,97032,9.9,9.9
FL,Miami Gardens,107167,9.4,9.3
GA,Athens,115452,9.6,9.3
CA,Sacramento,466488,9.9,9.8
NC,Raleigh,403892,8.5,8.4
CA,Simi Valley,124237,8.4,8.3
TN,Knoxville,178874,10.9,10.8
UT,St. George,72897,8.7,8.8
CA,Mountain View,74066,7.4,7.4
CO,Denver,600158,8.8,8.8
WA,Kent,92411,10,9.9
IA,Cedar Rapids,126326,8.1,8
CA,Inglewood,109673,9.9,9.8
FL,Boynton Beach,68217,8,8.2
MI,Grand Rapids,188040,11,11
CA,Rancho Cucamonga,165269,8.8,8.6
NM,Albuquerque,545852,10.4,10.3
OK,Edmond,81405,9.2,9.1
NH,Nashua,86494,10.4,10.4
OK,Norman,110925,9.9,9.6
