StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit
California,Los Angeles,7.8,7.4,8.2
Alabama,Montgomery,8.1,7.7,8.6
Hawaii,Honolulu,8.7,8.4,9.0
Texas,Grand Prairie,8.7,8.3,9.2
New York,New York,11.4,10.6,12.3
Florida,Tampa,7.5,7.1,8.0
Texas,Austin,6.9,6.6,7.5
Arizona,Mesa,9.5,9.0,10.2
Florida,Largo,7.7,7.1,8.4
Texas,Houston,9.9,9.3,10.6
Texas,Austin,7.2,6.8,7.7
Florida,Boca Raton,6.3,5.9,6.8
New York,New York,12.3,11.7,12.9
Texas,Dallas,7.5,7.1,8.1
Colorado,Denver,7.8,7.4,8.3
New Jersey,Clifton,8.1,8.0,8.2
Connecticut,Hartford,12.3,12.2,12.5
California,Pomona,8.8,8.0,9.6
Washington,Spokane,9.5,9.0,10.1
Oregon,Eugene,9.9,9.3,10.6
New York,New York,8.0,7.6,8.4
California,Corona,8.2,8.2,8.3
California,Bakersfield,10.0,9.5,10.6
Illinois,Chicago,14.2,13.0,15.7
Hawaii,Honolulu,9.4,9.1,9.8
Texas,Dallas,11.4,10.5,12.3
Florida,Coral Springs,6.8,6.5,7.3
Ohio,Cincinnati,8.6,8.0,9.4
Texas,Dallas,9.5,8.8,10.3
Ohio,Columbus,12.0,11.2,12.9
California,Los Angeles,6.8,6.4,7.4
Virginia,Richmond,8.9,8.2,10.1
Ohio,Cleveland,12.3,11.4,13.4
California,San Francisco,7.1,6.8,7.4
Hawaii,Honolulu,10.9,10.4,11.4
Texas,Houston,9.1,8.3,10.0
Ohio,Cleveland,10.8,10.0,11.5
Alabama,Mobile,8.4,7.8,9.0
Texas,San Antonio,8.3,7.8,8.9
California,Alameda,8.5,8.1,9.0
California,El Cajon,9.5,9.4,9.7
Texas,El Paso,8.7,8.0,9.4
Texas,Fort Worth,10.3,9.7,11.0
Hawaii,Honolulu,9.7,9.0,10.4
Indiana,Lafayette,10.3,9.6,11.1
New York,New York,9.9,9.3,10.6
Virginia,Newport News,8.8,8.6,9.2
Texas,Houston,6.9,6.6,7.4
Ohio,Cleveland,13.0,12.2,13.9
Illinois,Chicago,7.5,7.2,8.1
New York,New York,12.4,11.5,13.3
Wisconsin,Milwaukee,12.5,11.6,13.4
Wisconsin,Milwaukee,11.0,11.0,11.1
Nevada,North Las Vegas,7.7,7.3,8.1
Alabama,Huntsville,9.0,8.6,9.5
Pennsylvania,Philadelphia,9.6,9.0,10.2
North Carolin,Charlotte,12.1,11.0,13.3
North Carolin,Raleigh,8.5,8.5,8.6
Texas,Fort Worth,9.8,9.4,10.2
Louisiana,New Orleans,7.1,6.7,7.7
Wisconsin,Green Bay,9.5,9.0,10.0
Connecticut,Waterbury,13.7,13.1,14.4
Nevada,Sparks,8.3,7.8,8.9
Louisiana,New Orleans,6.7,6.4,7.2
California,Upland,8.5,8.2,9.0
Texas,San Antonio,8.7,7.9,9.5
Kansas,Topeka,11.6,11.2,12.1
Wisconsin,Appleton,9.8,9.1,10.5
New York,New York,10.2,9.6,10.8
New Jersey,Jersey City,6.2,5.9,6.7
Oklahoma,Tulsa,11.8,11.1,12.6
Ohio,Cincinnati,13.1,12.4,14.1
Minnesota,Minneapolis,11.0,10.6,11.5
Georgia,Atlanta,7.9,7.4,8.4
California,Vallejo,8.6,8.2,9.0
Georgia,Athens,8.3,7.8,8.9
California,Los Angeles,9.1,8.5,9.8
Texas,Carrollton,8.1,8.0,8.2
California,Los Angeles,6.9,6.6,7.2
California,Carson,8.0,7.9,8.1
California,Los Angeles,8.8,8.2,9.4
Illinois,Champaign,11.6,10.1,13.6
Louisiana,Baton Rouge,11.5,10.4,13.6
New York,New York,13.1,11.9,14.4
New Jersey,Jersey City,12.5,11.6,13.6
Oregon,Medford,10.9,10.3,11.6
Texas,Dallas,7.8,7.5,8.2
Missouri,Columbia,8.5,8.0,8.9
Colorado,Colorado Springs,9.6,9.0,10.3
New York,New York,10.6,10.3,10.9
Massachusetts,Fall River,13.0,12.8,13.2
New York,New York,13.2,12.2,14.4
Texas,Fort Worth,11.2,10.7,11.7
California,Oakland,7.9,7.6,8.3
Alabama,Montgomery,9.6,9.1,10.4
Tennessee,Clarksville,10.9,10.3,11.7
Texas,San Antonio,8.7,8.2,9.2
Kentucky,Louisville,13.7,13.0,14.6
Texas,Houston,7.7,7.3,8.2
Wisconsin,Green Bay,9.6,9.0,10.3
California,Salinas,9.2,8.2,10.2
Illinois,Chicago,13.1,12.0,14.1
Texas,Fort Worth,7.8,7.5,8.3
California,Hesperia,10.2,10.1,10.4
New York,New York,12.9,11.9,14.0
California,Los Angeles,8.2,7.9,8.6
Texas,Irving,8.9,8.3,9.6
Texas,Carrollton,8.3,8.2,8.4
California,Thousand Oaks,7.8,7.4,8.4
California,Chula Vista,7.8,7.5,8.2
Illinois,Elgin,9.1,9.0,9.2
Colorado,Denver,8.5,8.0,9.4
Minnesota,Minneapolis,8.6,8.1,9.2
California,Mission Viejo,7.4,7.0,8.0
Texas,San Antonio,8.4,7.6,9.3
Illinois,Chicago,14.1,13.0,15.4
New York,Buffalo,14.3,13.3,15.5
New York,New York,8.0,7.7,8.3
North Carolin,High Point,10.4,9.9,11.0
California,Berkeley,8.8,8.7,8.9
Illinois,Springfield,10.6,9.9,11.2
District of C,Washington,7.9,7.6,8.3
Georgia,Johns Creek,6.9,6.5,7.4
Wisconsin,Milwaukee,8.8,8.3,9.5
Georgia,Macon,7.5,7.1,8.1
Texas,El Paso,8.1,8.0,8.1
New York,New York,12.3,11.4,13.2
Arizona,Mesa,10.2,9.6,10.8
New York,New York,7.9,7.6,8.4
Oklahoma,Broken Arrow,9.7,9.2,10.3
