Observation Date,Confirmed,Day,Total per Day
01/22/2020,1,1,555
01/22/2020,14,2,653
01/22/2020,6,3,941
01/22/2020,1,4,1438
01/22/2020,0,5,2121
01/22/2020,26,6,2927
01/22/2020,2,7,5578
01/22/2020,1,8,6165
01/22/2020,4,9,8235
01/22/2020,1,10,9925
01/22/2020,0,11,12038
01/22/2020,5,12,16787
01/22/2020,0,13,19881
01/22/2020,444,14,23892
01/22/2020,4,15,27636
01/22/2020,0,16,30818
01/22/2020,1,17,34392
01/22/2020,2,18,37121
01/22/2020,0,19,40151
01/22/2020,2,20,42763
01/22/2020,1,21,44803
01/22/2020,1,22,45222
01/22/2020,0,23,60370
01/22/2020,0,24,66887
01/22/2020,2,25,69032
01/22/2020,9,26,71226
01/22/2020,1,27,73260
01/22/2020,5,28,75138
01/22/2020,1,29,75641
01/22/2020,4,30,76199
01/22/2020,0,31,76843
01/22/2020,1,32,78599
01/22/2020,0,33,78985
01/22/2020,1,34,79570
01/22/2020,10,35,80415
01/22/2020,2,36,81397
01/22/2020,2,37,82756
01/22/2020,1,38,84124
01/23/2020,9,39,86013
01/23/2020,22,40,88371
01/23/2020,9,41,90309
01/23/2020,5,42,92844
01/23/2020,2,43,95124
01/23/2020,32,44,97886
01/23/2020,5,45,101800
01/23/2020,3,46,105836
01/23/2020,5,47,109835
01/23/2020,1,48,113582
01/23/2020,2,49,118582
01/23/2020,5,50,125865
01/23/2020,2,51,128343
01/23/2020,444,52,145193
01/23/2020,9,53,156099
01/23/2020,0,54,167447
01/23/2020,5,55,181546
01/23/2020,7,,
01/23/2020,1,,
01/23/2020,3,,
01/23/2020,2,,
01/23/2020,1,,
01/23/2020,0,,
01/23/2020,3,,
01/23/2020,6,,
01/23/2020,16,,
01/23/2020,1,,
01/23/2020,8,,
01/23/2020,1,,
01/23/2020,4,,
01/23/2020,0,,
01/23/2020,1,,
01/23/2020,2,,
01/23/2020,2,,
01/23/2020,27,,
01/23/2020,1,,
01/23/2020,3,,
01/23/2020,1,,
01/23/2020,1,,
01/23/2020,0,,
01/23/2020,0,,
01/23/2020,2,,
01/23/2020,0,,
01/23/2020,0,,
01/23/2020,0,,
01/23/2020,0,,
01/24/2020,549,,
01/24/2020,53,,
01/24/2020,43,,
01/24/2020,36,,
01/24/2020,27,,
01/24/2020,24,,
01/24/2020,23,,
01/24/2020,20,,
01/24/2020,18,,
01/24/2020,15,,
01/24/2020,15,,
01/24/2020,15,,
01/24/2020,10,,
01/24/2020,9,,
01/24/2020,9,,
01/24/2020,8,,
01/24/2020,8,,
01/24/2020,5,,
01/24/2020,5,,
01/24/2020,4,,
01/24/2020,4,,
01/24/2020,3,,
01/24/2020,3,,
01/24/2020,3,,
01/24/2020,2,,
01/24/2020,2,,
01/24/2020,2,,
01/24/2020,2,,
