"1650 65TH STREET, LLC",EMERYVILLE
2929 SEVENTH STREET LLC,BERKELEY
"34175 ARDENWOOD VENTURE, LLC",FREMONT
365 DATA CENTERS,EMERYVILLE
4TH ST WOODWORKING CO,EMERYVILLE
808 RENEWABLE ENERGY,OAKLAND
"A 100 US, LLC",HAYWARD
A B & I FOUNDRY,OAKLAND
AAAA GENERATOR SERVICES,FREMONT
AB SUPPLY,FREMONT
ABAXIS INC,UNION CITY
"ABAXIS, INC",UNION CITY
AC TRANSIT,EMERYVILLE
AC TRANSIT,EMERYVILLE
AC TRANSIT,HAYWARD
AC TRANSIT DISTRICT,OAKLAND
AC TRANSIT DISTRICT - CENTRAL MAINTENANCE BUILDING,OAKLAND
AC TRANSIT GENERAL OFFICE,OAKLAND
ACCURATE MOULDING & MILLWORK,NEWARK
ACE CABINET SHOP,FREMONT
ACORN RESTORATION,OAKLAND
ACUITY BRANDS LIGHTING,BERKELEY
"ADAMS PRECISION SCREEN PRINTING, INC",SAN LEANDRO
ADVANCED ANODIZE INC,NEWARK
"ADVANCED FABRICATION TECHNOLOGY, LLC",HAYWARD
"AEG MANAGEMENT OAKLAND, LLC",OAKLAND
AEI CONSULTANTS,OAKLAND
"AG - STRADA OCC HOLDINGS, LP",OAKLAND
"AG-CCRP PUBLIC MARKET, LP",EMERYVILLE
AGRIBAG,OAKLAND
"AGRICULTURAL BAG MFG, INC",OAKLAND
AGRICULTURAL RESEARCH SERVICE,BERKELEY
AGRO MERCHANTS OAKLAND LLC,OAKLAND
AIMTA,FREMONT
"AIR LIQUIDE AMERICA SPECIALTY GASES, LLC",UNION CITY
AIR LIQUIDE ELECTRONICS US,FREMONT
AIR LIQUIDE INC,FREMONT
"AIRWELD, INC",OAKLAND
"AJINOMOTO WINDSOR, INC",HAYWARD
AL'S CUSTOM FINISHING INC,NEWARK
ALAMEDA COMMUNITY DEVELOPMENT AGENCY,LIVERMORE
ALAMEDA COUNTY EMPLOYEES RETIREMENT ASSN (ACERA),OAKLAND
ALAMEDA COUNTY GEN SERVICES AGENCY,SAN LEANDRO
ALAMEDA COUNTY GENERAL SVCS AGENCY,OAKLAND
ALAMEDA COUNTY GSA,OAKLAND
ALAMEDA COUNTY HOUSEHOLD HAZARDOUS WASTE,LIVERMORE
ALAMEDA COUNTY HOUSEHOLD HAZARDOUS WASTE COLLECTIO,HAYWARD
ALAMEDA COUNTY MEDICAL CENTER,SAN LEANDRO
ALAMEDA COUNTY MOSQUITO ABATEMENT DISTRICT,HAYWARD
ALAMEDA COUNTY OFFICE OF EDUCATION,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,SAN LEANDRO
ALAMEDA COUNTY PUBLIC WORKS AGENCY,OAKLAND
ALAMEDA COUNTY PUBLIC WORKS AGENCY,UNION CITY
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,SAN LEANDRO
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,OAKLAND
ALAMEDA COUNTY PUBLIC WORKS AGENCY,UNION CITY
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,HAYWARD
ALAMEDA COUNTY PUBLIC WORKS AGENCY,SAN LEANDRO
ALAMEDA COUNTY PUBLIC WORKS AGENCY,SAN LEANDRO
ALAMEDA COUNTY WATER DISTRICT,FREMONT
ALAMEDA COUNTY WATER DISTRICT,FREMONT
ALAMEDA COUNTY WATER DISTRICT,FREMONT
ALAMEDA COUNTY WATER DISTRICT,NEWARK
ALAMEDA COUNTY WATER DISTRICT,FREMONT
ALAMEDA COUNTY WATER DISTRICT,FREMONT
ALAMEDA CREMATIONS,ALAMEDA
ALAMEDA HEALTH SYSTEM DBA ALAMEDA HOSPITAL,ALAMEDA
ALBANY HIGH SCHOOL,ALBANY
ALDERSON CONSTRUCTION,PIEDMONT
ALLEGRO COFFEE COMPANY,BERKELEY
ALLIED ELECTRONIC RECOVERY,HAYWARD
ALLIED STORAGE CONTAINERS,OAKLAND
ALOFT SILICON VALLEY,NEWARK
"ALPHA MAGNETICS, INC",HAYWARD
ALPHA RESTORATION STUDIO INC,EMERYVILLE
ALTA BATES HOSPITAL,BERKELEY
ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND
ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND
ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND
ALTA BATES-HERRICK HOSPITAL,BERKELEY
ALTES MANUFACTURING INC,SAN LEANDRO
AMBER FLOORING INC,OAKLAND
AMERESCO VASCO ROAD LLC,LIVERMORE
AMERICA'S BEST COFFEE ROASTING COMPANY,OAKLAND
AMERICAN LICORICE COMPANY,UNION CITY
AMERICAN PRECISION MFG,LIVERMORE
AMERICAN SOIL PRODUCTS INC,BERKELEY
AMERICAN TOWER - SUNOL RIDGE - 8252,SUNOL
AMERICAN TOWER CORPORATION GOLF COURSE SITE#41642,ALAMEDA
AMP PRINTING INC,DUBLIN
"AMPHENOL THERMOMETRICS, INC",FREMONT
"AMSTAR - 105, LLC",ALAMEDA
AMYRIS,EMERYVILLE
AN-FO MANUFACTURING COMPANY,OAKLAND
ANDY ROGERS RESIDENCE,OAKLAND
ANTRIM ENGINEERING & CONSTRUCTION INC,LIVERMORE
"APEX ENVIROTECH, INC",HAYWARD
APPLE INC,NEWARK
"APPLIED CERAMICS, INC",FREMONT
APPLIED THIN-FILM PRODUCTS,FREMONT
"AQUA SCIENCE ENGINEERS, INC (ASE)",OAKLAND
ARADIGM COMPANY,HAYWARD
ARAMARK UNIFORM SERVICES,OAKLAND
ARCTOS ENVIRONMENTAL / ORION ENVIRONMENTAL,LIVERMORE
"ARDENBROOK - ADVANCED GEOENVIRONMENTAL, INC",FREMONT
"ARLEN NESS ENTERPRISES, INC",DUBLIN
ARROW RENTALS,LIVERMORE
ART SIGN COMPANY,OAKLAND
ARYZTA,NEWARK
ASHFORD TRS FREMONT LLC DBA MARRIOTT,FREMONT
ASPHALT SHINGLE RECYCLERS LLC,OAKLAND
ASSOCIATED AEROSPACE ACTIVITIES,SAN LEANDRO
ASTEELFLASH USA CORP,FREMONT
ASUS COMPUTER INTERNATIONAL,FREMONT
AT & T CORP,HAYWARD
AT&T,HAYWARD
AT&T,LIVERMORE
AT&T,PLEASANTON
AT&T,SUNOL
AT&T,PLEASANTON
AT&T CORP,OAKLAND
AT&T MOBILITY /AT&T SERVICES,CASTRO VALLEY
ATI AUTO ELECTRIC,LIVERMORE
AUTOCAM CALIFORNIA,HAYWARD
AUTOCAM CALIFORNIA,HAYWARD
AVALON BAY,UNION CITY
B & P CULTURED MARBLE INC,OAKLAND
BACCHUS PRESS INC,EMERYVILLE
BANK OF AMERICA C/O JONES LANG LASALLE PEMC,UNION CITY
BASF CORPORATION,NEWARK
BAXALTA US INC,HAYWARD
BAXTER HEALTHCARE INC,HAYWARD
BAY AREA CIRCUITS INC,FREMONT
BAY AREA LAUNDRY SERVICE,HAYWARD
BAY AREA RAPID TRANIST DIST (BART),OAKLAND
BAY AREA RAPID TRANSIT,DUBLIN
BAY AREA RAPID TRANSIT,DUBLIN
BAY AREA RAPID TRANSIT,OAKLAND
BAY AREA RAPID TRANSIT DISTRICT,HAYWARD
BAY AREA RAPID TRANSIT DISTRICT,OAKLAND
BAY EQUIPMENT & REPAIR,HAYWARD
BAY SHIP & YACHT CO,ALAMEDA
BAY STREET APARTMENTS BY WINDSOR,EMERYVILLE
BAYER HEALTHCARE LLC,BERKELEY
BAYFRONT CUSTOM CABINETS AND CLOSETS,SAN LEANDRO
BAYWOOD COURT RETIREMENT FACILITY,CASTRO VALLEY
BENCHMARK PRECISION TECHNOLOGIES,FREMONT
BENNETT SIGN CENTRE,PLEASANTON
BERKELEY ASPHALT CO,BERKELEY
BERKELEY CENTRAL,BERKELEY
BERKELEY FARMS INC,HAYWARD
BERKELEY FORGE & TOOL INC,BERKELEY
BERKELEY MARINE CENTER,BERKELEY
BERKELEY MILLWORK & FURNITURE CO,OAKLAND
BERKELEY REPERTORY THEATRE,OAKLAND
BEST INSTRUMENT REPAIR COMPANY,OAKLAND
"BICYCLE COFFEE, LLC",OAKLAND
BIO MED REALTY,NEWARK
"BIOCHAIN INSTITUTE, INC",NEWARK
"BIOMED REALTY TRUST, INC",NEWARK
"BLOMMER CHOCOLATE COMPANY, INC",UNION CITY
BLUE BOTTLE COFFEE COMPANY,OAKLAND
BNSF RAILWAY CO,OAKLAND
"BODYCOTE THERMAL PROCESSING, INC",FREMONT
BOEHRINGER INGELHEIM FREMONT INC,FREMONT
BOEHRINGER INGELHEIM FREMONT INC,FREMONT
"BOISE PACKAGING & NEWSPRINT, LLC",SAN LORENZO
BOLD DENTAL LABORATORY INC,SAN LEANDRO
BOLT THREADS,EMERYVILLE
BONNER PROCESSING INC,LIVERMORE
BORDEN LIGHTING,SAN LEANDRO
BOSTON SCIENTIFIC/TARGET,FREMONT
BOTTLING GROUP LLC,HAYWARD
"BOURBON COFFEE COMPANY, INC",SAN LEANDRO
BOWLES HALL FOUNDATION,BERKELEY
BRADLEY NAMEPLATE CORPORATION,FREMONT
BRIDGELUX,LIVERMORE
BROADWAY FRANKLIN LLC,OAKLAND
BROOK FURNITURE RENTAL,HAYWARD
BUFFALO BILL'S BREWERY,HAYWARD
BUNZI DISTRIBUTION (PAPERCRAFT),FREMONT
CAL HI TEC FINISHING LLC,HAYWARD
CAL TRANS-CALDECOTT TUNNEL OAKLAND,OAKLAND
"CALAVERAS, LLC",FREMONT
"CALIBER CABINETS, INC",HAYWARD
CALIFORNIA BRAZING,NEWARK
"CALIFORNIA CEREAL PRODUCTS, INC",OAKLAND
"CALIFORNIA COLLISION, LLC",PLEASANTON
CALIFORNIA DEPARTMENT OF TRANSPORTATION,SAN LEANDRO
CALIFORNIA HIGHWAY PATROL,DUBLIN
CALIFORNIA HIGHWAY PATROL-TELECOMMUNICATIONS,OAKLAND
CALIFORNIA HOTEL,OAKLAND
CALIFORNIA HYDRONICS CORP,HAYWARD
CALIFORNIA PIE COMPANY,LIVERMORE
CALIFORNIA SCHOOL FOR THE DEAF,FREMONT
CALIFORNIA STATE UNIVERSITY EAST BAY,HAYWARD
"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD
CALIFORNIA WASTE SOLUTIONS -WOOD STREET,OAKLAND
